intent,example
play_music,Play something by Adele
play_music,I want to hear Shape of You
play_music,Play the song 'Let it Go' by Adele
play_music,Put on some romantic tunes
play_music,Can you play classical music?
play_music,Put on some sad tunes
play_music,Play latest hits
play_music,Can you play classical music?
play_music,Play a song
play_music,Play the song 'Shape of You' by Queen
play_music,Play Let it Go
play_music,Can you play classical music?
play_music,Play Bohemian Rhapsody
play_music,Play my workout playlist
play_music,Play music
play_music,Play the song 'Let it Go' by Adele
play_music,Can you play classical music?
play_music,Play the song 'Let it Go' by Ed Sheeran
play_music,Put on some sad tunes
play_music,Play music
play_music,Can you play pop music?
play_music,Play something by Ed Sheeran
play_music,Play a song
play_music,Can you play rock music?
play_music,Play the song 'Despacito' by Queen
play_music,Play my workout playlist
play_music,Play the song 'Despacito' by Queen
play_music,Play something by Queen
play_music,Play latest hits
play_music,I want to hear Shape of You
set_alarm,Alarm at 7:00 AM
set_alarm,Set an alarm for 14:00
set_alarm,Wake me up at 14:00
set_alarm,Wake me up at 7:00 AM
set_alarm,Set a daily alarm for tomorrow 5 AM
set_alarm,Alarm at 6:30
set_alarm,Set an alarm in 30 minutes
set_alarm,Create an alarm at tomorrow 5 AM
set_alarm,Schedule alarm at 6:30
set_alarm,Set an alarm in 30 minutes
set_alarm,Create an alarm at tomorrow 5 AM
set_alarm,Set an alarm for 14:00
set_alarm,Set an alarm for 6:30
set_alarm,Set a daily alarm for 6:30
set_alarm,Set a daily alarm for tomorrow 5 AM
set_alarm,Wake me up at 14:00
set_alarm,Set an alarm in 30 minutes
set_alarm,Alarm at 7:00 AM
set_alarm,Create an alarm at 6:30
set_alarm,Set a daily alarm for 6:30
set_alarm,Alarm at 6:30
set_alarm,Alarm at tomorrow 5 AM
set_alarm,Set an alarm in 30 minutes
set_alarm,Create an alarm at 6:30
set_alarm,Create an alarm at 14:00
set_alarm,Set a daily alarm for tomorrow 5 AM
set_alarm,Create an alarm at 14:00
set_alarm,Remind me to wake up at 7:00 AM
set_alarm,Alarm at tomorrow 5 AM
set_alarm,Remind me to wake up at 7:00 AM
set_alarm,Wake me up at 7:00 AM
set_alarm,Schedule alarm at 7:00 AM
set_alarm,Set an alarm for 7:00 AM
set_alarm,Remind me to wake up at 7:00 AM
set_alarm,Alarm at 7:00 AM
set_alarm,Alarm at 6:30
set_alarm,Set an alarm in 1.5 hours
set_alarm,Wake me up at 14:00
set_alarm,Create an alarm at 7:00 AM
set_alarm,Set a daily alarm for 6:30
set_alarm,Create an alarm at tomorrow 5 AM
set_alarm,Alarm at tomorrow 5 AM
set_alarm,Set a daily alarm for 6:30
set_alarm,Set an alarm in 30 minutes
set_alarm,Remind me to wake up at 14:00
stop_music,Stop the music
stop_music,Turn off the music
stop_music,Stop playing
stop_music,End the music
stop_music,Cut the music
stop_music,Stop everything
stop_music,Enough music
stop_music,Music off
stop_music,Stop the music
stop_music,Turn off the music
stop_music,Stop playing
stop_music,End the music
stop_music,Cut the music
stop_music,Stop everything
stop_music,Enough music
stop_music,Music off
stop_music,Stop the music
stop_music,Turn off the music
stop_music,Stop playing
stop_music,End the music
stop_music,Cut the music
stop_music,Stop everything
stop_music,Enough music
stop_music,Music off
stop_music,Stop the music
stop_music,Turn off the music
stop_music,Stop playing
stop_music,End the music
stop_music,Cut the music
stop_music,Stop everything
stop_music,Enough music
stop_music,Music off
stop_music,Stop the music
stop_music,Turn off the music
stop_music,Stop playing
pause_music,Pause the music
pause_music,Hold the song
pause_music,Pause this track
pause_music,Put the music on hold
pause_music,Pause now
pause_music,Stop playing temporarily
pause_music,Can you pause?
pause_music,Take a break from the music
pause_music,Pause the music
pause_music,Hold the song
pause_music,Pause this track
pause_music,Put the music on hold
pause_music,Pause now
pause_music,Stop playing temporarily
pause_music,Can you pause?
pause_music,Take a break from the music
pause_music,Pause the music
pause_music,Hold the song
pause_music,Pause this track
pause_music,Put the music on hold
pause_music,Pause now
pause_music,Stop playing temporarily
pause_music,Can you pause?
pause_music,Take a break from the music
pause_music,Pause the music
pause_music,Hold the song
pause_music,Pause this track
pause_music,Put the music on hold
pause_music,Pause now
pause_music,Stop playing temporarily
pause_music,Can you pause?
pause_music,Take a break from the music
pause_music,Pause the music
pause_music,Hold the song
pause_music,Pause this track
pause_music,Put the music on hold
pause_music,Pause now
pause_music,Stop playing temporarily
pause_music,Can you pause?
pause_music,Take a break from the music
pause_music,Pause the music
pause_music,Hold the song
resume_music,Resume music
resume_music,Keep playing
resume_music,Continue the song
resume_music,Play again
resume_music,Unpause the music
resume_music,Resume playback
resume_music,Back to music
resume_music,Start playing again
resume_music,Resume music
resume_music,Keep playing
resume_music,Continue the song
resume_music,Play again
resume_music,Unpause the music
resume_music,Resume playback
resume_music,Back to music
resume_music,Start playing again
resume_music,Resume music
resume_music,Keep playing
resume_music,Continue the song
resume_music,Play again
resume_music,Unpause the music
resume_music,Resume playback
resume_music,Back to music
adjust_volume,Lower the sound
adjust_volume,Make it quieter
adjust_volume,Volume up
adjust_volume,Set volume to 100
adjust_volume,Lower the sound
adjust_volume,Volume up
adjust_volume,Raise the volume to 100
adjust_volume,down the volume
adjust_volume,Volume up
