input_sentence,annotations
Start The Beatles's Someone Like You,"{""entities"": [(20, 36, ""song""), (6, 17, ""artist"")]}"
Make it max,"{""entities"": [(8, 11, ""percent_of_total"")]}"
Alarm for 6:30 with note call with mom,"{""entities"": [(10, 14, ""time""), (25, 38, ""label"")]}"
Delete the morning workout alarm,"{""entities"": [(11, 26, ""label"")]}"
Turn on the track Sweet Child O' Mine,"{""entities"": [(18, 37, ""song"")]}"
Make it mute,"{""entities"": [(8, 12, ""percent_of_total"")]}"
Schedule alarm project deadline at tomorrow 5 AM,"{""entities"": [(35, 48, ""time""), (15, 31, ""label"")]}"
Delete the birthday alarm,"{""entities"": [(11, 19, ""label"")]}"
Please play something from The Weeknd,"{""entities"": [(27, 37, ""artist"")]}"
Make it 20 percent,"{""entities"": [(8, 18, ""percent_of_total"")]}"
Schedule alarm take meds at 5 in the morning,"{""entities"": [(28, 44, ""time""), (15, 24, ""label"")]}"
Turn off my yoga reminder at in 30 minutes,"{""entities"": [(29, 42, ""time""), (12, 16, ""label"")]}"
Queue up Hotel California,"{""entities"": [(9, 25, ""song"")]}"
Drop it to 30%,"{""entities"": [(11, 14, ""percent_of_total"")]}"
Create a morning workout alarm at next Monday at 6,"{""entities"": [(34, 50, ""time""), (9, 24, ""label"")]}"
No need for in 2 hours alarm anymore,"{""entities"": [(12, 22, ""time"")]}"
Turn on the track Let It Go,"{""entities"": [(18, 27, ""song"")]}"
Set volume to 10,"{""entities"": [(14, 16, ""percent_of_total"")]}"
Set my alarm at 14:00 - call it birthday,"{""entities"": [(16, 21, ""time""), (32, 40, ""label"")]}"
Remove alarm school at 5 in the morning,"{""entities"": [(23, 39, ""time""), (13, 19, ""label"")]}"
How about playing Hotel California by Eminem?,"{""entities"": [(18, 34, ""song""), (38, 44, ""artist"")]}"
Turn it down to 30%,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Wake me up at noon for call with mom,"{""entities"": [(14, 18, ""time""), (23, 36, ""label"")]}"
Don't wake me up for school,"{""entities"": [(21, 27, ""label"")]}"
Queue up All of Me,"{""entities"": [(9, 18, ""song"")]}"
Set volume to 75%,"{""entities"": [(14, 17, ""percent_of_total"")]}"
Schedule alarm birthday at midnight,"{""entities"": [(27, 35, ""time""), (15, 23, ""label"")]}"
Scrap the call with mom alarm at tomorrow 5 AM,"{""entities"": [(33, 46, ""time""), (10, 23, ""label"")]}"
Start Led Zeppelin's Let It Go,"{""entities"": [(21, 30, ""song""), (6, 18, ""artist"")]}"
Increase the volume to 75%,"{""entities"": [(23, 26, ""percent_of_total"")]}"
Remind me at in 2 hours for yoga,"{""entities"": [(13, 23, ""time""), (28, 32, ""label"")]}"
Remove alarm doctor appointment at midnight,"{""entities"": [(35, 43, ""time""), (13, 31, ""label"")]}"
Queue up Yesterday,"{""entities"": [(9, 18, ""song"")]}"
Adjust sound to 20 percent,"{""entities"": [(16, 26, ""percent_of_total"")]}"
Schedule alarm call with mom at tomorrow 5 AM,"{""entities"": [(32, 45, ""time""), (15, 28, ""label"")]}"
Remove alarm take meds at 5 in the morning,"{""entities"": [(26, 42, ""time""), (13, 22, ""label"")]}"
Start Nirvana's Bad Guy,"{""entities"": [(16, 23, ""song""), (6, 13, ""artist"")]}"
Set volume to mute,"{""entities"": [(14, 18, ""percent_of_total"")]}"
Set an alarm for 10:15 PM labeled birthday,"{""entities"": [(17, 25, ""time""), (34, 42, ""label"")]}"
No need for 5 in the morning alarm anymore,"{""entities"": [(12, 28, ""time"")]}"
Can you put on Yesterday?,"{""entities"": [(15, 24, ""song"")]}"
Set volume to 50%,"{""entities"": [(14, 17, ""percent_of_total"")]}"
Create a school alarm at 7:00 AM,"{""entities"": [(25, 32, ""time""), (9, 15, ""label"")]}"
No need for next Monday at 6 alarm anymore,"{""entities"": [(12, 28, ""time"")]}"
Queue up Uptown Funk,"{""entities"": [(9, 20, ""song"")]}"
Can you set the sound level to 100?,"{""entities"": [(31, 34, ""percent_of_total"")]}"
Wake me up at at 5 PM for doctor appointment,"{""entities"": [(14, 21, ""time""), (26, 44, ""label"")]}"
Get rid of the alarm set for midnight,"{""entities"": [(29, 37, ""time"")]}"
I'd like to hear Uptown Funk from The Weeknd,"{""entities"": [(17, 28, ""song""), (34, 44, ""artist"")]}"
Adjust sound to max,"{""entities"": [(16, 19, ""percent_of_total"")]}"
Create a birthday alarm at next Monday at 6,"{""entities"": [(27, 43, ""time""), (9, 17, ""label"")]}"
